mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
10241100288243,1168010300112360018,서울특별시 강남구 개포동 1236-18번지,서울특별시 강남구 논현로20길 4-15 (개포동),지하,1,지1층,192.98,03001,소매점,"소매점,계단실,기계실,물탱크실",근린생활1,철근콘크리트구조
10241100293123,1168010800101870016,서울특별시 강남구 논현동 187-16번지,서울특별시 강남구 강남대로114길 41 (논현동),지상,1,1층,352.86,03001,소매점,"제1종근린생활시설(소매점),계단실,방풍실,화장실",근린생활1,철근콘크리트구조
10241100293123,1168010800101870016,서울특별시 강남구 논현동 187-16번지,서울특별시 강남구 강남대로114길 41 (논현동),지상,2,2층,413.75,03020,체육도장,제1종근린생활시설(체육도장),근린생활1,철근콘크리트구조
10241100285743,1168010600109080004,서울특별시 강남구 대치동 908-4번지,서울특별시 강남구 역삼로 408 (대치동),지상,4,4층,238.95,14202,오피스텔,오피스텔(4개호),업무시설,철근콘크리트구조
10241100285743,1168010600109080004,서울특별시 강남구 대치동 908-4번지,서울특별시 강남구 역삼로 408 (대치동),지상,5,5층,238.95,14202,오피스텔,오피스텔(4개호),업무시설,철근콘크리트구조
10241100285743,1168010600109080004,서울특별시 강남구 대치동 908-4번지,서울특별시 강남구 역삼로 408 (대치동),지상,3,3층,238.95,14202,오피스텔,오피스텔(4개호),업무시설,철근콘크리트구조
10241100285743,1168010600109080004,서울특별시 강남구 대치동 908-4번지,서울특별시 강남구 역삼로 408 (대치동),지상,2,2층,238.95,14202,오피스텔,오피스텔(4개호),업무시설,철근콘크리트구조
10241100285743,1168010600109080004,서울특별시 강남구 대치동 908-4번지,서울특별시 강남구 역삼로 408 (대치동),지상,1,1층,243.67,03001,소매점,"근린생활시설,홀",근린생활1,철근콘크리트구조
1000000000000005777729,1168010600109110028,서울특별시 강남구 대치동 911-28번지,서울특별시 강남구 역삼로 446 (대치동),지상,1,1층,58.73,04001,일반음식점,"기계식주차, 주차관리실",근린생활2,철근콘크리트구조
10241100286763,1168011400106460001,서울특별시 강남구 일원동 646-1번지,서울특별시 강남구 양재대로53길 13 (일원동),지하,1,지1층,99.79,03202,사무소,제1종근린생활시설(사무소),근린생활1,철근콘크리트구조
10241100286763,1168011400106460001,서울특별시 강남구 일원동 646-1번지,서울특별시 강남구 양재대로53길 13 (일원동),지상,1,1층,98.59,04001,일반음식점,제2종근린생활시설(일반음식점),근린생활2,철근콘크리트구조
10241100302463,1168010100107510008,서울특별시 강남구 역삼동 751-8번지,서울특별시 강남구 역삼로11길 20 (역삼동),지하,1,지1층,64.599,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100275234,1168010800100380013,서울특별시 강남구 논현동 38-13번지,서울특별시 강남구 학동로25길 17 (논현동),지상,2,2층,281.41,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100295224,1168010100107870006,서울특별시 강남구 역삼동 787-6번지,서울특별시 강남구 논현로64길 30-1 (역삼동),지상,2,2층,188.37,04402,사무소,사무소,근린생활2,철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,3,지3층,1402.49,03999,기타제1종근린생활시설,"제1종근린생활시설(목욕장), 제1종근린생활시설(의원)",근린생활1,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지상,2,2층,354.95,04999,기타제2종근린생활시설,"계단실,복도,화장실(근린생활시설,운동시설)",근린생활2,철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,2,지2층,681.21,04999,기타제2종근린생활시설,"근린생활시설,제1종근린생활시설(의원)",근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,4,지4층,252.76,04999,기타제2종근린생활시설,"ELEV.홀,창고,재활용창고(근린생활시설,운동시설)",근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,1,지1층,596.5,04999,기타제2종근린생활시설,"계단실,복도,화장실(근린생활시설,운동시설)",근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지상,3,3층,109.39,04999,기타제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조
