mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
102515487,1171010400100950019,서울특별시 송파구 송파동 95-19번지,서울특별시 송파구 가락로19길 9 (송파동),지하,1,지1,92.46,03002,휴게음식점,근린생활시설(다방),근린생활1,철근콘크리트구조
102515487,1171010400100950019,서울특별시 송파구 송파동 95-19번지,서울특별시 송파구 가락로19길 9 (송파동),지상,1,1,59.34,03001,소매점,근린생활시설(소매점),근린생활1,철근콘크리트구조
102515487,1171010400100950019,서울특별시 송파구 송파동 95-19번지,서울특별시 송파구 가락로19길 9 (송파동),지상,2,2,80.04,04402,사무소,근린생활시설(사무소),근린생활2,철근콘크리트구조
10251100178394,1171010400100950022,서울특별시 송파구 송파동 95-22번지,서울특별시 송파구 가락로17길 4-9 (송파동),지하,1,지1,75.06,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
10251100178394,1171010400100950022,서울특별시 송파구 송파동 95-22번지,서울특별시 송파구 가락로17길 4-9 (송파동),지상,3,3층,66.42,03005,의원,제1종근린생활시설(의원),근린생활1,철근콘크리트구조
10251100178394,1171010400100950022,서울특별시 송파구 송파동 95-22번지,서울특별시 송파구 가락로17길 4-9 (송파동),옥탑,1,옥탑1층,8.64,03999,기타제1종근린생활시설,계단실(연면적제외),근린생활1,철근콘크리트구조
10251100178394,1171010400100950022,서울특별시 송파구 송파동 95-22번지,서울특별시 송파구 가락로17길 4-9 (송파동),지상,2,2층,66.42,03005,의원,제1종근린생활시설(의원),근린생활1,철근콘크리트구조
10251100178394,1171010400100950022,서울특별시 송파구 송파동 95-22번지,서울특별시 송파구 가락로17길 4-9 (송파동),지상,1,1층,58.14,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
10251100482843,1171010400100950024,서울특별시 송파구 송파동 95-24번지,서울특별시 송파구 가락로19길 9-9 (송파동),지하,1,지1층,39.3,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
1025115392,1171010400100950025,서울특별시 송파구 송파동 95-25번지,서울특별시 송파구 가락로19길 9-27 (송파동),지하,1,지1,64.1,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10251100501843,1171010400100950027,서울특별시 송파구 송파동 95-27번지,서울특별시 송파구 가락로17길 6 (송파동),지상,1,1층,48.905,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
10251100513242,1171010400100950028,서울특별시 송파구 송파동 95-28번지,서울특별시 송파구 가락로17길 6-3 (송파동),지상,1,1층,23.01,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10251100513241,1171010400100950029,서울특별시 송파구 송파동 95-29번지,서울특별시 송파구 가락로17길 6-5 (송파동),지상,1,1층,22.38,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10251100479868,1171010400100950030,서울특별시 송파구 송파동 95-30번지,서울특별시 송파구 가락로17길 6-7 (송파동),지상,1,1층,22.07,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지하,1,지1,109.51,04002,휴게음식점,근린생활시설(다방),근린생활2,철근콘크리트구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지상,1,1층,36.91,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지상,1,1층,18.5,04403,부동산중개업소,제2종근린생활시설(부동산중개업소),근린생활2,철근콘크리트구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지상,1,1층,33.0,04001,일반음식점,제2종근린생활시설(일반음식점),근린생활2,철근콘크리트구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지상,1,1층,21.1,04999,기타제2종근린생활시설,주차장,근린생활2,철근콘크리트구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지상,2,2층,110.84,04402,사무소,근린생활시설(사무소),근린생활2,철근콘크리트구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지상,3,3층,110.84,04402,사무소,근린생활시설(사무소),근린생활2,철근콘크리트구조
