TRDAR_CD,TRDAR_CD_N,SIGNGU_NM,ADSTRD_NM,R_ONE_상권,상가유형,기준_년분기_코드,임대료_천원㎡,임대가격지수,공실률,매칭상권_임대료표본수,매칭상권_공실률표본수,임대료_표본부족,공실률_표본부족,임대료_분위_매칭상권내,공실률_분위_매칭상권내,mapping_method,mapping_confidence,join_eligible,grain_is_proxy
3120003,광화문역,종로구,사직동,광화문,중대형상가,20261,,99.89,5.23750177215524,0,48,True,False,,29.2,explicit_alias,high,True,True
3120007,북촌(안국역),종로구,가회동,북촌,중대형상가,20261,,102.88,1.94657945849035,0,48,True,False,,10.4,explicit_alias,high,True,True
3120012,대학로(혜화역),종로구,혜화동,혜화동,중대형상가,20261,,100.77,1.22857593157701,0,48,True,False,,2.1,explicit_alias,high,True,True
3120023,서울시청,중구,명동,시청,중대형상가,20261,,101.64,11.7167799911163,0,48,True,False,,77.1,explicit_alias,high,True,True
3120028,명동(명동거리),중구,명동,명동,중대형상가,20261,,108.29,5.02615281155803,0,48,True,False,,25.0,explicit_alias,high,True,True
3120032,충무로역,중구,필동,충무로,중대형상가,20261,,100.58,11.2012803766952,0,48,True,False,,72.9,explicit_alias,high,True,True
3120038,약수역,중구,다산동,약수역,중대형상가,20261,,99.15,12.3584786124755,0,48,True,False,,83.3,exact_name,high,True,True
3120049,왕십리역(왕십리),성동구,행당1동,왕십리,중대형상가,20261,,102.2,1.79712567746111,0,48,True,False,,8.3,explicit_alias,high,True,True
3120051,뚝섬역,성동구,성수1가2동,뚝섬,중대형상가,20261,,121.38,3.39473833127681,0,48,True,False,,18.8,explicit_alias,high,True,True
3120053,건대입구역(건대),광진구,화양동,건대입구,중대형상가,20261,,99.34,10.7987702258672,0,48,True,False,,68.8,explicit_alias,high,True,True
3120055,군자역,광진구,군자동,군자,중대형상가,20261,,101.04,8.79799490874767,0,48,True,False,,60.4,explicit_alias,high,True,True
3120056,구의역,광진구,구의1동,구의역,중대형상가,20261,,100.37,7.57344464703563,0,48,True,False,,50.0,exact_name,high,True,True
3120063,청량리역(청량리),동대문구,전농1동,청량리,중대형상가,20261,,100.72,10.4901024400328,0,48,True,False,,66.7,explicit_alias,high,True,True
3120064,경희대학교(경희대),동대문구,회기동,경희대,중대형상가,20261,,99.16,3.00897877604202,0,48,True,False,,16.7,explicit_alias,high,True,True
3120069,상봉역,중랑구,상봉2동,상봉역,중대형상가,20261,,99.82,4.30435942899531,0,48,True,False,,22.9,exact_name,high,True,True
3120072,성신여대,성북구,동선동,성신여대,중대형상가,20261,,100.13,12.7799874793368,0,48,True,False,,85.4,exact_name,high,True,True
3120073,미아사거리,성북구,길음2동,미아사거리,중대형상가,20261,,99.61,7.18512778442777,0,48,True,False,,39.6,exact_name,high,True,True
3120076,수유역,강북구,수유3동,수유,중대형상가,20261,,99.52,7.46252830034661,0,48,True,False,,45.8,explicit_alias,high,True,True
3120090,연신내역,은평구,불광1동,연신내,중대형상가,20261,,100.19,11.9787944339435,0,48,True,False,,79.2,explicit_alias,high,True,True
3120092,불광역,은평구,대조동,불광역,중대형상가,20261,,99.84,14.9027553695674,0,48,True,False,,91.7,exact_name,high,True,True
3120094,"신촌역(신촌역, 신촌로터리)",서대문구,신촌동,신촌/이대,중대형상가,20261,,97.73,12.3456141886176,0,48,True,False,,81.2,composite_components,high,True,True
3120100,망원역,마포구,망원1동,망원역,중대형상가,20261,,101.34,1.75088238072198,0,48,True,False,,6.2,exact_name,high,True,True
3120103,홍대입구역(홍대),마포구,서교동,홍대/합정,중대형상가,20261,,103.86,8.69525192295024,0,48,True,False,,58.3,composite_components,high,True,True
3120107,공덕역(공덕오거리),마포구,도화동,공덕역,중대형상가,20261,,102.96,5.76005349320275,0,48,True,False,,35.4,explicit_alias,high,True,True
3120120,화곡역,강서구,화곡1동,화곡,중대형상가,20261,,99.96,14.9644745102411,0,48,True,False,,93.8,explicit_alias,high,True,True
3120121,까치산역,강서구,화곡1동,까치산역,중대형상가,20261,,100.1,6.63735726934115,0,48,True,False,,37.5,exact_name,high,True,True
